id,date,assessor,department,location,hazard_category,hazard_description,activity,likelihood,severity,risk_score,risk_level,existing_controls,further_controls,residual_likelihood,residual_severity,residual_risk_score,residual_risk_level,review_date,status
1,2026-01-10,J. Smith,Warehouse,Loading Bay 1,Working at Height,Operatives working on mezzanine floor without edge protection. Risk of falling 4m to concrete below.,Picking stock from upper level racking,4,5,20,Very High,Safety harness policy in place; signage posted,Install permanent edge guarding and safety netting; mandatory harness inspection log,2,4,8,Medium,2026-04-10,In Progress
2,2026-01-15,A. Patel,Maintenance,Plant Room B,Electrical,Exposed live conductors on aging distribution board during routine maintenance tasks.,Routine electrical inspection,3,5,15,High,Permit-to-work system; PPE provided,Replace distribution board; implement lockout/tagout procedure,2,3,6,Low,2026-04-15,Open
3,2026-01-22,S. Williams,Construction,Site Block C,Manual Handling,Repeated lifting of 25kg concrete blocks without mechanical aids. Workers reporting back pain.,Block laying on ground floor,4,3,12,High,Manual handling training completed; team lifting encouraged,Provide mechanical lifting aids (vacuum lifter); reduce block weight specification,2,2,4,Low,2026-04-22,Open
4,2026-02-03,J. Smith,Operations,Production Floor,Machinery / Equipment,Unguarded nip point on conveyor belt. Operator clothing could become entangled.,Running conveyor for product transfer,3,4,12,High,Guards present on main rollers; training delivered,Fit interlocked guard on exposed nip point; add emergency stop at workstation,2,3,6,Low,2026-05-03,In Progress
5,2026-02-10,R. Khan,Office / Admin,Open Plan Office,Display Screen Equipment,Employees working 8+ hours on laptops without docking stations. Reports of neck and wrist strain.,Daily computer-based work,4,2,8,Medium,DSE assessment policy exists,Provide docking stations and external monitors; schedule mandatory screen breaks via software,2,2,4,Low,2026-05-10,Open
6,2026-02-18,A. Patel,Laboratory,Lab 3,Chemical / COSHH,Inadequate ventilation when handling isopropyl alcohol in bulk. Risk of vapour inhalation.,Cleaning equipment with IPA,3,3,9,Medium,COSHH assessment completed; PPE (gloves/goggles) provided,Install local exhaust ventilation; review substitution with less hazardous solvent,2,2,4,Low,2026-05-18,Closed
7,2026-03-01,T. Okafor,Logistics,Yard Area,Slips Trips & Falls,Yard surface deteriorating with potholes and standing water after rain. Forklift and pedestrian shared route.,Loading/unloading vehicles in yard,4,3,12,High,Hi-vis vests mandatory; speed limit signs posted,Resurface yard; implement pedestrian segregation barriers; improve drainage,2,2,4,Low,2026-06-01,Open
8,2026-03-07,S. Williams,Construction,Site Block A,Fire,Combustible materials (timber offcuts) stored adjacent to site office. No fire extinguisher within 10m.,Site clearance and waste storage,3,4,12,High,Fire evacuation plan in place; weekly checks,Relocate storage 6m from office; install extinguisher; conduct fire warden refresher,2,3,6,Low,2026-06-07,In Progress
9,2026-03-14,R. Khan,HR,Meeting Room 2,Stress & Mental Health,Staff reporting high workload and lack of managerial support during organisational restructure.,Day-to-day office duties,4,2,8,Medium,Employee Assistance Programme available,Implement workload review meetings; train line managers in mental health first aid,2,2,4,Low,2026-06-14,Open
10,2026-04-02,J. Smith,Warehouse,Racking Aisle 4,Slips Trips & Falls,Damaged racking upright following forklift impact. Structural integrity not confirmed. Risk of collapse.,Forklift truck operation,2,5,10,Medium,Area cordoned off with tape; incident reported,Commission structural survey immediately; replace damaged upright before reopening aisle,1,4,4,Low,2026-07-02,Open
